SCHOOL NAME,SAT Tests Taken,SAT Section Average,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
RICHMOND HILL HIGH SCHOOL,404,385,382,404,368
PEACE AND DIVERSITY ACADEMY,34,385,390,401,364
HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,385,395,382,376
LIBERATION DIPLOMA PLUS,10,385,411,369,373
"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,384,379,414,359
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,384,373,412,365
HARRY S TRUMAN HIGH SCHOOL,189,384,386,397,368
BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,384,385,393,373
HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,384,393,381,377
YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,384,405,375,370
EAST SIDE COMMUNITY SCHOOL,70,383,377,402,370
"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,383,375,388,385
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,383,380,386,383
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,383,386,386,376
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,383,400,357,390
SHEEPSHEAD BAY HIGH SCHOOL,236,382,383,392,370
INTERNATIONAL ARTS BUSINESS SCHOOL,54,382,386,391,369
"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,382,384,390,370
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,382,387,385,373
BROOKLYN GENERATION SCHOOL,29,382,374,377,394
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,381,386,394,361
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,381,388,382,373
VICTORY COLLEGIATE HIGH SCHOOL,63,381,387,377,379
MONROE ACADEMY FOR BUSINESS/LAW,31,380,375,387,376
"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,380,385,377,377
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,380,396,374,369
OLYMPUS ACADEMY,7,380,400,370,370
DREAMYARD PREPARATORY SCHOOL,51,380,382,365,391
BRONX LAB SCHOOL,81,379,377,391,367
URBAN ACTION ACADEMY,40,379,376,385,374
BRONX ACADEMY OF HEALTH CAREERS,69,379,387,365,383
SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,378,366,400,368
BEACH CHANNEL HIGH SCHOOL,78,378,384,396,354
EAGLE ACADEMY FOR YOUNG MEN,78,378,373,387,374
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,378,374,384,374
BRONX HEALTH SCIENCES HIGH SCHOOL,74,378,370,381,382
FRANKLIN DELANO ROOSEVELT YABC,18,377,338,477,316
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,377,376,385,368
GLOBAL ENTERPRISE HIGH SCHOOL,57,377,372,382,375
BANANA KELLY HIGH SCHOOL,54,377,373,381,377
NEWCOMERS HIGH SCHOOL,143,376,323,475,329
HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,376,365,384,378
PARK EAST HIGH SCHOOL,51,376,373,379,376
HIGH SCHOOL FOR CONTEMPORARY ARTS,55,376,383,378,365
"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,376,373,370,384
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,375,384,375,365
CROTONA ACADEMY HIGH SCHOOL,9,375,379,364,382
ACADEMY FOR YOUNG WRITERS,68,375,387,357,381
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,374,355,404,363
WASHINGTON IRVING HIGH SCHOOL,151,374,373,387,360
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,374,368,384,369
EXPLORATIONS ACADEMY,57,374,381,381,360
FRANCES PERKINS ACADEMY,12,374,382,372,368
EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,374,401,369,351
JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,374,379,364,379
LOUIS D. BRANDEIS HIGH SCHOOL,131,373,370,390,358
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,373,367,385,367
BROOKLYN THEATRE ARTS HIGH SCHOOL,54,373,383,358,377
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,372,364,379,371
DISCOVERY HIGH SCHOOL,55,372,372,379,364
WINGS ACADEMY,66,372,378,374,362
ACORN COMMUNITY HIGH SCHOOL,72,372,384,364,368
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,372,375,355,384
WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,371,363,385,364
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,371,363,381,367
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,371,381,376,354
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,371,374,375,362
THE BRONXWOOD PREPARATORY ACADEMY,48,371,377,372,363
BRONX COMMUNITY HIGH SCHOOL,9,371,367,369,376
BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,371,361,367,383
BAYARD RUSTIN EDUCATIONAL COMPLEX,59,371,378,365,368
JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,371,377,359,376
BROOKLYN LAB SCHOOL,57,370,360,385,363
NORMAN THOMAS HIGH SCHOOL,154,370,370,379,359
AUGUST MARTIN HIGH SCHOOL,101,370,377,371,360
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,370,371,368,370
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,369,362,376,367
HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,369,362,375,368
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,369,370,371,365
BRONX GUILD,39,369,369,371,365
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,369,371,365,370
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,368,362,378,363
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,368,363,378,361
EAST BRONX ACADEMY FOR THE FUTURE,46,368,366,378,358
LYONS COMMUNITY SCHOOL,31,368,371,377,355
W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,368,370,369,363
GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,367,362,382,356
QUEENS PREPARATORY ACADEMY,52,367,360,380,359
ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,367,380,372,349
"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,367,373,370,356
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,367,370,367,363
METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,367,368,365,368
CHOIR ACADEMY OF HARLEM,20,367,354,360,385
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,366,369,380,349
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,366,356,379,361
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,366,351,375,371
ACADEMY OF INNOVATIVE TECHNOLOGY,60,366,371,371,354
BOYS AND GIRLS HIGH SCHOOL,131,366,365,370,362
PHOENIX ACADEMY,9,366,367,370,360
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,366,380,366,352
BROOKLYN BRIDGE ACADEMY,17,366,384,362,351
GEORGE WASHINGTON YABC,7,366,394,357,346
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,365,367,379,348
AUTOMOTIVE HIGH SCHOOL,94,365,367,376,350
FLUSHING YABC,9,365,378,373,344
GOTHAM PROFESSIONAL ARTS ACADEMY,36,365,370,372,351
INDEPENDENCE HIGH SCHOOL,14,365,389,371,335
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,365,369,369,357
HEALTH OPPORTUNITIES HIGH SCHOOL,114,365,363,368,364
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,364,378,348
KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,364,368,378,346
BROOKLYN PREPARATORY HIGH SCHOOL,42,364,367,373,350
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,364,362,372,358
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,364,361,371,359
